Main_Skill,Sub_Skills
Large Language Models & GenAI,"Prompt Engineering, Chain of Thought, Few-shot Prompting, Zero-shot Prompting, Instruction Tuning, Fine-tuning (LoRA, PEFT), RLHF, RAG (Retrieval-Augmented Generation), Embeddings, Vector Databases (FAISS, Milvus, Pinecone, Chroma), LangChain, LlamaIndex, Hugging Face Transformers, Model Quantization (8-bit, 4-bit), Serving (vLLM, Triton, TorchServe), Safety and Guardrails, Hallucination Detection, Evaluation Metrics for LLMs, Context Window Optimization, Tool Use / Function Calls"
NLP Retrieval & RAG,"Chunking Strategies, Semantic Search, Dense Retrieval, Sparse Retrieval (BM25), Hybrid Retrieval, Embedding Models, FAISS, Annoy, HNSW, Vector Index Sharding, Reranking (Cross-Encoder), Context Filtering, Passage Scoring, Retriever-Reader Architecture, Pipelines (LangChain)"
Embeddings & Vector DBs,"Sentence Transformers, OpenAI embeddings, SBERT, Vector Indexing, Approximate Nearest Neighbor (ANN), HNSW, IVF, PQ, Vector Compression, Similarity Metrics (Cosine, Dot, Euclidean), Milvus, Pinecone, Weaviate, FAISS, Chroma, Vector Metadata Management, Reindexing Strategies"
Model Ops / MLOps,"Model Versioning, Model Registry (MLflow, Sagemaker Model Registry), CI/CD for ML, Feature Stores (Feast, Tecton), Data Versioning (DVC, Delta Lake), Monitoring (Data Drift, Concept Drift), Automated Retraining, Serving (KFServing, BentoML), A/B Testing for Models, Canary Deployments, Explainability Monitoring (SHAP, LIME)"
Data Engineering,"ETL/ELT Pipelines, Airflow, Prefect, Dagster, Spark (PySpark, Spark SQL), Flink, Kafka, Kafka Streams, CDC (Debezium), Delta Lake, Parquet, ORC, Schema Evolution, Partitioning, Bucketing, Data Lineage, Data Catalogs, Data Quality Checks (Great Expectations)"
Data Warehousing & Analytics,"Snowflake, BigQuery, Redshift, Synapse, Star Schema, Snowflake Schema, Materialized Views, Partitioning Strategies, Query Optimization, BI Tools (Tableau, Power BI, Looker), OLAP vs OLTP, Columnar Storage, Time Travel"
Databases & Storage,"Relational Databases (PostgreSQL, MySQL, MariaDB), NoSQL (MongoDB, Cassandra, Couchbase), NewSQL (CockroachDB), In-memory DBs (Redis, Memcached), Time-series DBs (InfluxDB), Graph DBs (Neo4j), Columnar Stores (ClickHouse), Backup & Restore, Replication, Sharding, Indexing Strategies, Transactions (ACID), Isolation Levels"
SQL,"SELECT, JOINs, CTE (WITH), Window Functions, Indexes, Explain Plan, Query Optimization, Stored Procedures, Triggers, Views, Transactions, Normalization, Denormalization, Partitioning"
NoSQL,"Document Stores (MongoDB), Key-Value Stores (Redis), Wide Column (Cassandra), Graph DBs (Neo4j), Indexes in NoSQL, Consistency Models (Eventual, Strong), Sharding Strategies, TTL, Compaction, Secondary Indexes, Schema Design"
Streaming & Real-time,"Kafka, Kafka Streams, Kinesis, Flink, Stream Processing Patterns, Windowing, Event Time vs Processing Time, Exactly-once Semantics, Stateful Processing, Backpressure Handling, CDC (Change Data Capture)"
Feature Stores,"Feast, Tecton, Feature Ingestion, Online vs Offline Store, Feature Serving, Versioning, Consistency, Backfills, Feature Pipelines, Monitoring Feature Drift"
Recommender Systems,"Collaborative Filtering, Content-based Filtering, Matrix Factorization (SVD), ALS, Hybrid Recommenders, Implicit vs Explicit Feedback, Ranking Models, Evaluation (Precision@K, Recall@K, MAP), Cold Start Problem, Candidate Generation, Re-ranking"
Computer Vision,"Image Classification, Object Detection (YOLO, Faster R-CNN, SSD), Semantic Segmentation (U-Net), Instance Segmentation, OCR (Tesseract, EasyOCR), Image Augmentation, Transfer Learning (Vision Transformers, ResNet), Video Processing, Pose Estimation, 3D Vision, Autoencoders for CV"
Time Series,"ARIMA, SARIMA, ETS, Prophet, State-space Models, LSTM for Time Series, Feature Lagging, Seasonality Detection, Trend Decomposition, Anomaly Detection in Time Series, Forecast Evaluation (MAPE, RMSE)"
Statistical Methods,"Hypothesis Testing, T-tests, Chi-square Tests, ANOVA, Correlation vs Causation, P-values, Confidence Intervals, Bayesian Statistics, Bootstrapping, Power Analysis"
Data Visualization,"Matplotlib, Seaborn, Plotly, Bokeh, D3.js, Tableau, Power BI, Dashboard Design, Storytelling with Data, Interactive Visualizations, Geospatial Visualization (Folium, GeoPandas)"
Python Development,"Core Syntax, OOP, Functional Programming, Iterators & Generators, Decorators, Context Managers, Typing, Packaging (pip, poetry), Virtual Envs, AsyncIO, Concurrency (Threads, Multiprocessing), Logging, Profiling"
Testing & QA,"Unit Testing (pytest, unittest), Integration Testing, End-to-End Testing, Mocking, Test Coverage, CI Integration, Selenium, API Testing (Postman), Contract Testing, Load Testing (JMeter, Locust), TDD/BDD"
API Design,"RESTful APIs, GraphQL, gRPC, OpenAPI/Swagger, Versioning, Pagination, Authentication (OAuth2, JWT), Rate Limiting, Caching Headers, API Gateways, Throttling, HATEOAS"
Backend Frameworks,"Django, Flask, FastAPI, Spring Boot, Express.js, Node.js, ASP.NET Core, Micronaut, Quarkus, Ktor"
Frontend Frameworks,"React, Angular, Vue.js, Svelte, Next.js, Nuxt.js, TypeScript, Webpack, Vite, State Management (Redux, Vuex), Styled Components, Accessibility (a11y)"
Mobile Development,"Android (Kotlin, Java), iOS (Swift), Flutter, React Native, Expo, Mobile UI Patterns, Push Notifications, In-app Purchases, App Store/Play Store Deployment, Mobile Testing (Appium)"
Security,"OWASP Top 10, Penetration Testing, Vulnerability Scanning, IAM, Encryption (AES, RSA), TLS/SSL, WAF, Secrets Management, SIEM, Incident Response, Secure Coding Practices, SAST/DAST"
Identity & Access Management,"OAuth2, OpenID Connect, SAML, RBAC, ABAC, JWT, Multi-factor Authentication, SSO, SCIM, Directory Services"
Product Management,"Roadmapping, Prioritization (RICE, MoSCoW), OKRs, User Research, Persona Development, A/B Testing, Go-to-Market, Pricing Strategy, Stakeholder Management, Metrics and KPIs, Feature Adoption"
Business Analysis,"Requirements Elicitation, User Stories, Acceptance Criteria, Use Cases, Process Mapping, UAT, Stakeholder Analysis, Gap Analysis, SWOT, Business Rules, BRD/FRD Documentation"
Solution Architecture,"Microservices, Monolith vs Microservices, Event-Driven Architecture, Integration Patterns, API Strategy, Scalability Patterns, Caching Patterns, CQRS, Event Sourcing, Consistency Models, CAP Theorem"
Software Architecture Patterns,"Layered Architecture, Hexagonal Architecture, CQRS, Event Sourcing, Microkernel, Serverless Patterns, Backend for Frontend (BFF), Circuit Breaker, Bulkhead, Sidecar"
Project Management & Agile,"Scrum, Kanban, Sprint Planning, Retrospectives, Capacity Planning, Story Points, Burn-down Charts, Release Planning, Risk Management, Stakeholder Communication"
Observability,"Metrics, Logs, Tracing, SLO/SLI, Error Budgets, Dashboards, Alerting Policies, Sampling Strategies, Correlation IDs, Observability Pipelines"
Data Governance & Compliance,"GDPR, HIPAA, Data Lineage, Data Catalogs, Access Controls, Data Retention Policies, Anonymization, Consent Management, Audit Trails, Policy Enforcement"
Analytics & BI,"Dashboarding, Ad-hoc Analysis, KPI Definitions, Funnel Analysis, Segmentation, Cohort Analysis, Attribution Models, Data Storytelling, Self-Serve BI, Embedded Analytics"
Business Intelligence Tools,"Tableau, Power BI, Looker, Qlik, Superset, Metabase, Domo, Redash, Mode Analytics"
Big Data Frameworks,"Hadoop, HDFS, Spark, Hive, Impala, Presto, Flink, MapReduce, YARN, Tez, HBase"
Message Queues & Integration,"Kafka, RabbitMQ, ActiveMQ, SQS, SNS, Pub/Sub, Event Hubs, Message Patterns, Dead Letter Queue, Backpressure, Idempotency, Exactly-once Delivery"
Performance Engineering,"Load Testing, Stress Testing, Profiling, JVM Tuning, SQL Optimization, Caching Strategies, Concurrency, Bottleneck Analysis, Capacity Planning"
Analytics Engineering,"dbt, Data Modeling, Transformations, Testing (dbt tests), Documentation, Modular SQL, Snapshots, Incremental Models, Metrics Layer"
Reproducible Research & Experimentation,"Experiment Tracking (MLflow, Weights & Biases), Randomization, A/B Testing Design, Statistical Significance, Logging Experiments, Reproducible Pipelines, Seed Management"
Ethics & Responsible AI,"Bias Detection, Fairness Metrics, Explainability, Privacy-preserving ML (DP, Federated Learning), Model Cards, Data Provenance, Accountability, Transparency"
Human-in-the-loop,"Active Learning, Annotation Tooling, Label Quality Control, Crowdsourcing (MTurk), Labeling Workflows, Consensus Algorithms, Inter-annotator Agreement"
Legal & Compliance for AI,"Data Residency, GDPR, CCPA, Model Audit Trails, Explainability Documentation, Auditability"
